subject,rating,cheese,experience,cutlery,feature
1,5,young,no,fork,expensiveness
4,1,young,no,fork,expensiveness
10,7,young,no,fork,expensiveness
20,7,young,no,fork,expensiveness
21,4,young,no,fork,expensiveness
24,2,young,no,fork,expensiveness
25,5,young,no,fork,expensiveness
2,1,young,yes,fork,expensiveness
3,2,young,yes,fork,expensiveness
5,1,young,yes,fork,expensiveness
6,2,young,yes,fork,expensiveness
7,4,young,yes,fork,expensiveness
8,2,young,yes,fork,expensiveness
9,5,young,yes,fork,expensiveness
11,1,young,yes,fork,expensiveness
12,4,young,yes,fork,expensiveness
13,4,young,yes,fork,expensiveness
14,6,young,yes,fork,expensiveness
15,6,young,yes,fork,expensiveness
16,4,young,yes,fork,expensiveness
17,3,young,yes,fork,expensiveness
18,4,young,yes,fork,expensiveness
19,5,young,yes,fork,expensiveness
22,3,young,yes,fork,expensiveness
23,8,young,yes,fork,expensiveness
26,1,young,yes,fork,expensiveness
27,3,young,yes,fork,expensiveness
28,4,young,yes,fork,expensiveness
29,4,young,yes,fork,expensiveness
30,1,young,yes,fork,expensiveness
1,6,young,no,knife,expensiveness
4,2,young,no,knife,expensiveness
10,7,young,no,knife,expensiveness
20,2,young,no,knife,expensiveness
21,5,young,no,knife,expensiveness
24,4,young,no,knife,expensiveness
25,2,young,no,knife,expensiveness
2,4,young,yes,knife,expensiveness
3,2,young,yes,knife,expensiveness
5,2,young,yes,knife,expensiveness
6,7,young,yes,knife,expensiveness
7,3,young,yes,knife,expensiveness
8,1,young,yes,knife,expensiveness
9,4,young,yes,knife,expensiveness
11,1,young,yes,knife,expensiveness
12,3,young,yes,knife,expensiveness
13,5,young,yes,knife,expensiveness
14,4,young,yes,knife,expensiveness
15,4,young,yes,knife,expensiveness
16,1,young,yes,knife,expensiveness
17,2,young,yes,knife,expensiveness
18,4,young,yes,knife,expensiveness
19,3,young,yes,knife,expensiveness
22,3,young,yes,knife,expensiveness
23,5,young,yes,knife,expensiveness
26,1,young,yes,knife,expensiveness
27,3,young,yes,knife,expensiveness
28,3,young,yes,knife,expensiveness
29,6,young,yes,knife,expensiveness
30,3,young,yes,knife,expensiveness
1,5,young,no,spoon,expensiveness
4,2,young,no,spoon,expensiveness
10,8,young,no,spoon,expensiveness
20,3,young,no,spoon,expensiveness
21,4,young,no,spoon,expensiveness
24,7,young,no,spoon,expensiveness
25,4,young,no,spoon,expensiveness
2,3,young,yes,spoon,expensiveness
3,2,young,yes,spoon,expensiveness
5,2,young,yes,spoon,expensiveness
6,3,young,yes,spoon,expensiveness
7,3,young,yes,spoon,expensiveness
8,2,young,yes,spoon,expensiveness
9,2,young,yes,spoon,expensiveness
11,1,young,yes,spoon,expensiveness
12,4,young,yes,spoon,expensiveness
13,4,young,yes,spoon,expensiveness
14,2,young,yes,spoon,expensiveness
15,6,young,yes,spoon,expensiveness
16,1,young,yes,spoon,expensiveness
17,2,young,yes,spoon,expensiveness
18,4,young,yes,spoon,expensiveness
19,3,young,yes,spoon,expensiveness
22,1,young,yes,spoon,expensiveness
23,5,young,yes,spoon,expensiveness
26,1,young,yes,spoon,expensiveness
27,3,young,yes,spoon,expensiveness
28,3,young,yes,spoon,expensiveness
29,1,young,yes,spoon,expensiveness
30,2,young,yes,spoon,expensiveness
1,6,young,no,toothpick,expensiveness
4,2,young,no,toothpick,expensiveness
10,7,young,no,toothpick,expensiveness
20,8,young,no,toothpick,expensiveness
21,5,young,no,toothpick,expensiveness
24,4,young,no,toothpick,expensiveness
25,3,young,no,toothpick,expensiveness
2,3,young,yes,toothpick,expensiveness
3,2,young,yes,toothpick,expensiveness
5,2,young,yes,toothpick,expensiveness
6,1,young,yes,toothpick,expensiveness
7,3,young,yes,toothpick,expensiveness
8,1,young,yes,toothpick,expensiveness
9,3,young,yes,toothpick,expensiveness
11,2,young,yes,toothpick,expensiveness
12,4,young,yes,toothpick,expensiveness
13,1,young,yes,toothpick,expensiveness
14,3,young,yes,toothpick,expensiveness
15,3,young,yes,toothpick,expensiveness
16,1,young,yes,toothpick,expensiveness
17,3,young,yes,toothpick,expensiveness
18,5,young,yes,toothpick,expensiveness
19,2,young,yes,toothpick,expensiveness
22,7,young,yes,toothpick,expensiveness
23,5,young,yes,toothpick,expensiveness
26,1,young,yes,toothpick,expensiveness
27,3,young,yes,toothpick,expensiveness
28,3,young,yes,toothpick,expensiveness
29,4,young,yes,toothpick,expensiveness
30,3,young,yes,toothpick,expensiveness
1,8,strong,no,fork,expensiveness
4,3,strong,no,fork,expensiveness
10,1,strong,no,fork,expensiveness
20,6,strong,no,fork,expensiveness
21,2,strong,no,fork,expensiveness
24,8,strong,no,fork,expensiveness
25,6,strong,no,fork,expensiveness
2,7,strong,yes,fork,expensiveness
3,6,strong,yes,fork,expensiveness
5,4,strong,yes,fork,expensiveness
6,6,strong,yes,fork,expensiveness
7,8,strong,yes,fork,expensiveness
8,6,strong,yes,fork,expensiveness
9,5,strong,yes,fork,expensiveness
11,4,strong,yes,fork,expensiveness
12,5,strong,yes,fork,expensiveness
13,6,strong,yes,fork,expensiveness
14,6,strong,yes,fork,expensiveness
15,7,strong,yes,fork,expensiveness
16,8,strong,yes,fork,expensiveness
17,7,strong,yes,fork,expensiveness
18,6,strong,yes,fork,expensiveness
19,8,strong,yes,fork,expensiveness
22,4,strong,yes,fork,expensiveness
23,7,strong,yes,fork,expensiveness
26,3,strong,yes,fork,expensiveness
27,7,strong,yes,fork,expensiveness
28,5,strong,yes,fork,expensiveness
29,7,strong,yes,fork,expensiveness
30,6,strong,yes,fork,expensiveness
1,8,strong,no,knife,expensiveness
4,5,strong,no,knife,expensiveness
10,3,strong,no,knife,expensiveness
20,7,strong,no,knife,expensiveness
21,3,strong,no,knife,expensiveness
24,8,strong,no,knife,expensiveness
25,5,strong,no,knife,expensiveness
2,8,strong,yes,knife,expensiveness
3,5,strong,yes,knife,expensiveness
5,8,strong,yes,knife,expensiveness
6,8,strong,yes,knife,expensiveness
7,8,strong,yes,knife,expensiveness
8,6,strong,yes,knife,expensiveness
9,5,strong,yes,knife,expensiveness
11,4,strong,yes,knife,expensiveness
12,5,strong,yes,knife,expensiveness
13,4,strong,yes,knife,expensiveness
14,7,strong,yes,knife,expensiveness
15,6,strong,yes,knife,expensiveness
16,5,strong,yes,knife,expensiveness
17,4,strong,yes,knife,expensiveness
18,6,strong,yes,knife,expensiveness
19,2,strong,yes,knife,expensiveness
22,2,strong,yes,knife,expensiveness
23,7,strong,yes,knife,expensiveness
26,3,strong,yes,knife,expensiveness
27,8,strong,yes,knife,expensiveness
28,6,strong,yes,knife,expensiveness
29,7,strong,yes,knife,expensiveness
30,6,strong,yes,knife,expensiveness
1,8,strong,no,spoon,expensiveness
4,7,strong,no,spoon,expensiveness
10,3,strong,no,spoon,expensiveness
20,4,strong,no,spoon,expensiveness
21,6,strong,no,spoon,expensiveness
24,7,strong,no,spoon,expensiveness
25,5,strong,no,spoon,expensiveness
2,7,strong,yes,spoon,expensiveness
3,6,strong,yes,spoon,expensiveness
5,7,strong,yes,spoon,expensiveness
6,8,strong,yes,spoon,expensiveness
7,8,strong,yes,spoon,expensiveness
8,2,strong,yes,spoon,expensiveness
9,5,strong,yes,spoon,expensiveness
11,4,strong,yes,spoon,expensiveness
12,5,strong,yes,spoon,expensiveness
13,7,strong,yes,spoon,expensiveness
14,4,strong,yes,spoon,expensiveness
15,7,strong,yes,spoon,expensiveness
16,5,strong,yes,spoon,expensiveness
17,6,strong,yes,spoon,expensiveness
18,5,strong,yes,spoon,expensiveness
19,8,strong,yes,spoon,expensiveness
22,7,strong,yes,spoon,expensiveness
23,7,strong,yes,spoon,expensiveness
26,5,strong,yes,spoon,expensiveness
27,8,strong,yes,spoon,expensiveness
28,6,strong,yes,spoon,expensiveness
29,7,strong,yes,spoon,expensiveness
30,5,strong,yes,spoon,expensiveness
1,7,strong,no,toothpick,expensiveness
4,6,strong,no,toothpick,expensiveness
10,4,strong,no,toothpick,expensiveness
20,7,strong,no,toothpick,expensiveness
21,4,strong,no,toothpick,expensiveness
24,7,strong,no,toothpick,expensiveness
25,6,strong,no,toothpick,expensiveness
2,4,strong,yes,toothpick,expensiveness
3,3,strong,yes,toothpick,expensiveness
5,6,strong,yes,toothpick,expensiveness
6,8,strong,yes,toothpick,expensiveness
7,8,strong,yes,toothpick,expensiveness
8,4,strong,yes,toothpick,expensiveness
9,6,strong,yes,toothpick,expensiveness
11,4,strong,yes,toothpick,expensiveness
12,4,strong,yes,toothpick,expensiveness
13,2,strong,yes,toothpick,expensiveness
14,6,strong,yes,toothpick,expensiveness
15,7,strong,yes,toothpick,expensiveness
16,6,strong,yes,toothpick,expensiveness
17,5,strong,yes,toothpick,expensiveness
18,5,strong,yes,toothpick,expensiveness
19,8,strong,yes,toothpick,expensiveness
22,7,strong,yes,toothpick,expensiveness
23,3,strong,yes,toothpick,expensiveness
26,4,strong,yes,toothpick,expensiveness
27,3,strong,yes,toothpick,expensiveness
28,5,strong,yes,toothpick,expensiveness
29,8,strong,yes,toothpick,expensiveness
30,3,strong,yes,toothpick,expensiveness
