subject,rating,spooncolor,yogurtcolor,feature
1,4,red,white,saltiness
2,4,red,white,saltiness
3,7,red,white,saltiness
4,4,red,white,saltiness
5,2,red,white,saltiness
6,5,red,white,saltiness
7,5,red,white,saltiness
8,1,red,white,saltiness
9,9,red,white,saltiness
10,7,red,white,saltiness
11,2,red,white,saltiness
12,4,red,white,saltiness
13,1,red,white,saltiness
14,2,red,white,saltiness
15,4,red,white,saltiness
16,2,red,white,saltiness
17,4,red,white,saltiness
18,7,red,white,saltiness
19,7,red,white,saltiness
20,8,red,white,saltiness
21,2,red,white,saltiness
22,7,red,white,saltiness
23,5,red,white,saltiness
24,4,red,white,saltiness
25,5,red,white,saltiness
26,3,red,white,saltiness
27,8,red,white,saltiness
28,5,red,white,saltiness
29,3,red,white,saltiness
30,2,red,white,saltiness
31,4,red,white,saltiness
32,6,red,white,saltiness
33,6,red,white,saltiness
34,6,red,white,saltiness
35,6,red,white,saltiness
36,4,red,white,saltiness
37,9,red,white,saltiness
38,6,red,white,saltiness
39,3,red,white,saltiness
40,3,red,white,saltiness
1,3,blue,white,saltiness
2,4,blue,white,saltiness
3,6,blue,white,saltiness
4,7,blue,white,saltiness
5,4,blue,white,saltiness
6,5,blue,white,saltiness
7,4,blue,white,saltiness
8,1,blue,white,saltiness
9,6,blue,white,saltiness
10,5,blue,white,saltiness
11,2,blue,white,saltiness
12,5,blue,white,saltiness
13,4,blue,white,saltiness
14,2,blue,white,saltiness
15,4,blue,white,saltiness
16,2,blue,white,saltiness
17,3,blue,white,saltiness
18,3,blue,white,saltiness
19,7,blue,white,saltiness
20,3,blue,white,saltiness
21,6,blue,white,saltiness
22,2,blue,white,saltiness
23,4,blue,white,saltiness
24,5,blue,white,saltiness
25,5,blue,white,saltiness
26,2,blue,white,saltiness
27,6,blue,white,saltiness
28,7,blue,white,saltiness
29,2,blue,white,saltiness
30,6,blue,white,saltiness
31,6,blue,white,saltiness
32,2,blue,white,saltiness
33,6,blue,white,saltiness
34,2,blue,white,saltiness
35,4,blue,white,saltiness
36,1,blue,white,saltiness
37,6,blue,white,saltiness
38,2,blue,white,saltiness
39,3,blue,white,saltiness
40,5,blue,white,saltiness
1,7,green,white,saltiness
2,5,green,white,saltiness
3,2,green,white,saltiness
4,7,green,white,saltiness
5,3,green,white,saltiness
6,6,green,white,saltiness
7,3,green,white,saltiness
8,1,green,white,saltiness
9,6,green,white,saltiness
10,5,green,white,saltiness
11,2,green,white,saltiness
12,7,green,white,saltiness
13,2,green,white,saltiness
14,2,green,white,saltiness
15,3,green,white,saltiness
16,2,green,white,saltiness
17,6,green,white,saltiness
18,5,green,white,saltiness
19,7,green,white,saltiness
20,3,green,white,saltiness
21,4,green,white,saltiness
22,5,green,white,saltiness
23,5,green,white,saltiness
24,5,green,white,saltiness
25,6,green,white,saltiness
26,8,green,white,saltiness
27,8,green,white,saltiness
28,6,green,white,saltiness
29,3,green,white,saltiness
30,4,green,white,saltiness
31,7,green,white,saltiness
32,6,green,white,saltiness
33,5,green,white,saltiness
34,4,green,white,saltiness
35,6,green,white,saltiness
36,8,green,white,saltiness
37,7,green,white,saltiness
38,2,green,white,saltiness
39,3,green,white,saltiness
40,4,green,white,saltiness
1,5,white,white,saltiness
2,3,white,white,saltiness
3,4,white,white,saltiness
4,4,white,white,saltiness
5,4,white,white,saltiness
6,3,white,white,saltiness
7,3,white,white,saltiness
8,1,white,white,saltiness
9,5,white,white,saltiness
10,7,white,white,saltiness
11,2,white,white,saltiness
12,5,white,white,saltiness
13,3,white,white,saltiness
14,2,white,white,saltiness
15,5,white,white,saltiness
16,2,white,white,saltiness
17,6,white,white,saltiness
18,4,white,white,saltiness
19,7,white,white,saltiness
20,8,white,white,saltiness
21,6,white,white,saltiness
22,7,white,white,saltiness
23,5,white,white,saltiness
24,4,white,white,saltiness
25,6,white,white,saltiness
26,2,white,white,saltiness
27,8,white,white,saltiness
28,4,white,white,saltiness
29,5,white,white,saltiness
30,2,white,white,saltiness
31,8,white,white,saltiness
32,3,white,white,saltiness
33,6,white,white,saltiness
34,4,white,white,saltiness
35,5,white,white,saltiness
36,2,white,white,saltiness
37,7,white,white,saltiness
38,3,white,white,saltiness
39,3,white,white,saltiness
40,5,white,white,saltiness
1,6,black,white,saltiness
2,2,black,white,saltiness
3,5,black,white,saltiness
4,7,black,white,saltiness
5,6,black,white,saltiness
6,6,black,white,saltiness
7,3,black,white,saltiness
8,1,black,white,saltiness
9,8,black,white,saltiness
10,3,black,white,saltiness
11,2,black,white,saltiness
12,8,black,white,saltiness
13,3,black,white,saltiness
14,6,black,white,saltiness
15,7,black,white,saltiness
16,2,black,white,saltiness
17,4,black,white,saltiness
18,3,black,white,saltiness
19,7,black,white,saltiness
20,3,black,white,saltiness
21,5,black,white,saltiness
22,6,black,white,saltiness
23,5,black,white,saltiness
24,4,black,white,saltiness
25,5,black,white,saltiness
26,3,black,white,saltiness
27,7,black,white,saltiness
28,7,black,white,saltiness
29,4,black,white,saltiness
30,3,black,white,saltiness
31,7,black,white,saltiness
32,2,black,white,saltiness
33,7,black,white,saltiness
34,3,black,white,saltiness
35,4,black,white,saltiness
36,6,black,white,saltiness
37,8,black,white,saltiness
38,2,black,white,saltiness
39,3,black,white,saltiness
40,7,black,white,saltiness
1,4,red,pink,saltiness
2,5,red,pink,saltiness
3,4,red,pink,saltiness
4,5,red,pink,saltiness
5,2,red,pink,saltiness
6,4,red,pink,saltiness
7,7,red,pink,saltiness
8,2,red,pink,saltiness
9,9,red,pink,saltiness
10,5,red,pink,saltiness
11,2,red,pink,saltiness
12,3,red,pink,saltiness
13,2,red,pink,saltiness
14,3,red,pink,saltiness
15,6,red,pink,saltiness
16,2,red,pink,saltiness
17,6,red,pink,saltiness
18,8,red,pink,saltiness
19,7,red,pink,saltiness
20,7,red,pink,saltiness
21,7,red,pink,saltiness
22,6,red,pink,saltiness
23,7,red,pink,saltiness
24,4,red,pink,saltiness
25,5,red,pink,saltiness
26,3,red,pink,saltiness
27,6,red,pink,saltiness
28,7,red,pink,saltiness
29,3,red,pink,saltiness
30,3,red,pink,saltiness
31,5,red,pink,saltiness
32,4,red,pink,saltiness
33,6,red,pink,saltiness
34,5,red,pink,saltiness
35,6,red,pink,saltiness
36,7,red,pink,saltiness
37,8,red,pink,saltiness
38,4,red,pink,saltiness
39,4,red,pink,saltiness
40,4,red,pink,saltiness
1,5,blue,pink,saltiness
2,4,blue,pink,saltiness
3,4,blue,pink,saltiness
4,7,blue,pink,saltiness
5,5,blue,pink,saltiness
6,4,blue,pink,saltiness
7,3,blue,pink,saltiness
8,1,blue,pink,saltiness
9,6,blue,pink,saltiness
10,4,blue,pink,saltiness
