Episode Number,Episode Title,Spooky,Rage,Alison Prediction Point,Courtney Prediction Point
S1E1,Pilot,3,3,9999,9999
S1E2,Deep Throat,2.66667,5,9999,1
S1E3,Squeeze,4,3,9999,1
S1E4,Conduit,1.5,5,9999,0
S1E5,Jersey Devil,1,7,9999,1
S1E6,Shadows,3.5,3,9999,1
S1E7,Ghost In The Machine,1,1.5,9999,1
S1E8,Ice,3.5,2.5,9999,1
S1E9,Space,0,9.9,9999,0.5
S1E10,Fallen Angel,2.75,4,9999,0
S1E11,Eve,2,9,9999,0
S1E12,Fire,3,5,9999,1
S1E13,Beyond The Sea,5,1,9999,1
S1E14,Gender Bender,2.25,7,9999,0
S1E15,Lazarus,2.5,5,9999,1
S1E16,Young At Heart,3.5,3,9999,0
S1E17,E.B.E.,3,4,9999,1
S1E18,Miracle Man,1.5,7,9999,1
S1E19,Shapes,3.75,6,9999,1
S1E20,Darkness Falls,3,6,9999,1
S1E21,Tooms,4,5,9999,0
S1E22,Born Again,2.5,6.5,9999,1
S1E23,Roland,3.5,5,9999,0
S1E24,The Erlenmeyer Flask,9999,9999,9999,1
S2E1,Little Green Men,3,3,9999,0
S2E2,The Host,3.5,4,,9999
S2E3,Blood,3.5,3,9999,
S2E4,Sleepless,2,5,0.5,9999
S2E5,Duane Barry,3.5,5,9999,0
S2E6,Ascension,3.5,3,9999,9999
S2E7,3,1,9,9999,9999
S2E8,One Breath,1.5,4,9999,9999
S2E9,Firewalker,3.5,6,9999,9999
S2E10,Red Museum,2.5,4,0,9999
S2E11,Excelsis Dei,5,10,9999,0
S2E12,Aubrey,1.5,7.5,9999,9999
S2E13,Irresistible,4,6,0,9999
S2E14,Die Hand Die Verletzt,3,2,9999,0
S2E15,Fresh Bones,1.5,7.5,0,9999
S2E16,Colony,1,6,9999,9999
S2E17,End Game,1,5,9999,9999
S2E18,Fearful Symmetry,1,8,9999,9999
S2E19,Død Kalm,1,7,1,9999
S2E20,Humbug,3.5,8.5,9999,0
S2E21,The Calusari,3,3,1,9999
S2E22,F. Emasculata,2.5,7.5,9999,0.5
S2E23,Soft Light,1,4,0,9999
S2E24,Our Town,3,6,9999,0.5
S2E25,Anasazi,2,2,1,1
S3E1,The Blessing Way,2,4,9999,0
S3E2,Paper Clip,3.5,5,0,9999
S3E3,D.P.O.,1,8,9999,0
S3E4,Clyde Bruckman’s Final Repose,2,4,0,9999
S3E5,The List,2,4,9999,0
S3E6,2Shy,1.5,5,0.5,9999
S3E7,The Walk,3,8.5,9999,0
S3E8,Oubliette,3.5,9,0.5,9999
S3E9,Nisei,0.5,8,9999,0.5
S3E10,731,3.5,8,0.5,9999
S3E11,Revelations,1,7,9999,0.5
S3E12,War of the Coprophages,3.5,4,0,9999
S3E13,Syzygy,1.5,10,9999,0
S3E14,Grotesque,3,4,0.5,9999
S3E15,Piper Maru,2.5,4,9999,0.5
S3E16,Apocrypha,4,6,0,9999
S3E17,Pusher,0.8,7,9999,0.5
S3E18,Teso Dos Bichos,4,6,0.5,9999
S3E19,Hell Money,2.5,8,9999,0.5
S3E20,Jose Chung’s From Outer Space,5,8,0.5,9999
S3E21,Avatar,3,3,9999,0.5
S3E22,Quagmire,2,5,0.5,9999
S3E23,Wetwired,2,4,9999,0.5
S3E24,Talitha Cumi,1.3,6,0,0
S4E1,Herrenvolk,9999,9999,0,9999
S4E2,Home,4,8,9999,0.5
S4E3,,,,,
S4E4,,,,,
S4E5,,,,,
S4E6,,,,,
S4E7,,,,,
S4E8,,,,,
S4E9,,,,,
S4E10,,,,,
S4E11,,,,,
S4E12,,,,,
S4E13,,,,,
S4E14,,,,,
S4E15,,,,,
S4E16,,,,,
S4E17,,,,,
S4E18,,,,,
S4E19,,,,,
S4E20,,,,,
S4E21,,,,,
S4E22,,,,,
S4E23,,,,,
S4E24,,,,,
S5E1,,,,,
S5E2,,,,,
S5E3,,,,,
S5E4,,,,,
S5E5,,,,,
S5E6,,,,,
S5E7,,,,,
S5E8,,,,,
S5E9,,,,,
S5E10,,,,,
S5E11,,,,,
S5E12,,,,,
S5E13,,,,,
S5E14,,,,,
S5E15,,,,,
S5E16,,,,,
S5E17,,,,,
S5E18,,,,,
S5E19,,,,,
S5E20,,,,,
S6E1,,,,,
S6E2,,,,,
S6E3,,,,,
S6E4,,,,,
S6E5,,,,,
S6E6,,,,,
S6E7,,,,,
S6E8,,,,,
S6E9,,,,,
S6E10,,,,,
S6E11,,,,,
S6E12,,,,,
S6E13,,,,,
S6E14,,,,,
S6E15,,,,,
S6E16,,,,,
S6E17,,,,,
S6E18,,,,,
S6E19,,,,,
S6E20,,,,,
S6E21,,,,,
S6E22,,,,,
S7E1,,,,,
S7E2,,,,,
S7E3,,,,,
S7E4,,,,,
S7E5,,,,,
S7E6,,,,,
S7E7,,,,,
S7E8,,,,,
S7E9,,,,,
S7E10,,,,,
S7E11,,,,,
S7E12,,,,,
S7E13,,,,,
S7E14,,,,,
S7E15,,,,,
S7E16,,,,,
S7E17,,,,,
S7E18,,,,,
S7E19,,,,,
S7E20,,,,,
S7E21,,,,,
S7E22,,,,,
S8E1,,,,,
S8E2,,,,,
S8E3,,,,,
S8E4,,,,,
S8E5,,,,,
S8E6,,,,,
S8E7,,,,,
S8E8,,,,,
S8E9,,,,,
S8E10,,,,,
S8E11,,,,,
S8E12,,,,,
S8E13,,,,,
S8E14,,,,,
S8E15,,,,,
S8E16,,,,,
S8E17,,,,,
S8E18,,,,,
S8E19,,,,,
S8E20,,,,,
S8E21,,,,,
S9E1,,,,,
S9E2,,,,,
S9E3,,,,,
S9E4,,,,,
S9E5,,,,,
S9E6,,,,,
S9E7,,,,,
S9E8,,,,,
S9E9,,,,,
S9E10,,,,,
S9E11,,,,,
S9E12,,,,,
S9E13,,,,,
S9E14,,,,,
S9E15,,,,,
S9E16,,,,,
S9E17,,,,,
S9E18,,,,,
S9E19,,,,,
S10E1,My Struggle,1,5,9999,9999
S10E2,Founder’s Mutation,2.5,8,1,9999
S10E3,Mulder and Scully Meet The Weremonster,2,7,9999,1
S10E4,Home Again,4,5,0,9999
S10E5,Babylon,9999,10,9999,0
S10E6,My Struggle II,0,6.5,9999,9999
